chord,norm,mean_cos,spread_deg,top_note_cos
food,0.5220671,0.522067129611969,58.52898025512695,0.56064772605896
animal,0.53282624,0.5328262448310852,57.803382873535156,0.5975266098976135
color,0.6721815,0.6721814870834351,47.764339447021484,0.7457117438316345
city,0.62051654,0.6205165386199951,51.6461296081543,0.67513108253479
nature,0.48795435,0.487954318523407,60.79378128051758,0.5725430250167847
number,0.7422689,0.742268979549408,42.0749397277832,0.8564603328704834
rand0,0.5417771,0.5417770743370056,57.19530487060547,0.6287426948547363
rand1,0.5450995,0.5450993776321411,56.96854019165039,0.8697621822357178
rand2,0.4647655,0.4647654592990875,62.304954528808594,0.5610718131065369
rand3,0.48957703,0.489577054977417,60.68721008300781,0.6732356548309326
rand4,0.51072973,0.5107297897338867,59.287540435791016,0.6922142505645752
rand5,0.50499696,0.5049969553947449,59.66884231567383,0.6032060384750366
