model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
google/gemma-3-1b-it,The theory of relativity,0,322,T,False,False,False,False,False,False,1071.0,-0.004174590110778809,-0.00684620626270771,0.0,,1.0,True,False,0.02001485973596573
google/gemma-3-1b-it,The theory of relativity,0,605,us,True,False,False,True,True,True,1.0,0.35000768303871155,0.45362329483032227,40.707252502441406,4.292746543884277,1.0,False,False,1.035750389099121
google/gemma-3-1b-it,The theory of relativity,0,806,ous,True,False,False,True,True,True,1.0,0.3623364269733429,0.48273879289627075,37.58198547363281,7.418015956878662,1.0,False,False,1.098085880279541
google/gemma-3-1b-it,The theory of relativity,0,850, app,True,False,False,True,True,True,1.0,0.09188532829284668,0.13217543065547943,34.62577819824219,10.374223709106445,1.0,False,False,0.7064650058746338
google/gemma-3-1b-it,The theory of relativity,0,1049,inal,True,False,False,True,True,True,1.0,0.2675319015979767,0.38872021436691284,35.224700927734375,9.775298118591309,1.0,False,False,1.0360304117202759
google/gemma-3-1b-it,The theory of relativity,0,1143,cept,True,False,False,True,True,True,1.0,0.25084877014160156,0.3873565196990967,32.89320373535156,12.106797218322754,1.0,False,False,1.108898639678955
google/gemma-3-1b-it,The theory of relativity,0,1176, said,True,False,False,True,True,True,1.0,0.22468358278274536,0.29185760021209717,39.90952682495117,5.0904717445373535,1.0,False,False,0.8564068078994751
google/gemma-3-1b-it,The theory of relativity,0,1240,riv,True,False,False,True,True,True,1.0,0.39635440707206726,0.5683945417404175,36.132667541503906,8.867334365844727,1.0,False,False,1.1061991453170776
google/gemma-3-1b-it,The theory of relativity,0,1276, Re,True,False,False,True,True,True,1.0,0.10248148441314697,0.13266414403915405,39.12208938598633,5.877910614013672,1.0,False,False,0.7937108874320984
google/gemma-3-1b-it,The theory of relativity,0,1382, aut,True,False,False,True,True,True,1.0,0.11800849437713623,0.17605583369731903,32.654380798339844,12.345621109008789,1.0,False,False,0.8209592700004578
