model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
EleutherAI/pythia-160m,The capital of France is,0,883,11,False,False,False,False,False,False,2348.0,-0.10451990365982056,-0.13060201704502106,0.0,45.56563186645508,1.0,True,False,0.18946771323680878
EleutherAI/pythia-160m,The capital of France is,0,888,ident,False,False,False,False,False,False,464.0,-0.07868140935897827,-0.09802525490522385,0.0,30.086334228515625,1.0,True,False,0.3237609565258026
EleutherAI/pythia-160m,The capital of France is,0,896, back,False,False,False,True,True,True,2.0,-0.005025386810302734,-0.005700175184756517,0.0,17.787553787231445,1.0,True,False,0.28798651695251465
EleutherAI/pythia-160m,The capital of France is,0,927, includ,False,False,False,False,False,False,54.0,-0.05006206035614014,-0.05902988836169243,0.0,27.97922134399414,1.0,True,False,0.30799153447151184
EleutherAI/pythia-160m,The capital of France is,0,977,other,False,False,False,False,False,False,718.0,-0.08113068342208862,-0.10195187479257584,0.0,30.5966854095459,1.0,True,False,0.295927494764328
EleutherAI/pythia-160m,The capital of France is,0,1002, produ,False,False,False,False,False,False,877.0,-0.08388590812683105,-0.10301615297794342,0.0,35.77047348022461,1.0,True,False,0.2867116928100586
EleutherAI/pythia-160m,The capital of France is,0,1052, 200,False,False,False,False,False,False,303.0,-0.06610548496246338,-0.07896614074707031,0.0,34.46930694580078,1.0,True,False,0.15573589503765106
EleutherAI/pythia-160m,The capital of France is,0,1077, very,False,False,False,True,True,True,2.0,-0.008551299571990967,-0.009523707441985607,0.0,19.082387924194336,1.0,True,False,0.23920641839504242
EleutherAI/pythia-160m,The capital of France is,0,1080,ator,False,False,False,False,False,False,119.0,-0.0589141845703125,-0.07155725359916687,0.0,26.032411575317383,1.0,True,False,0.3369138836860657
EleutherAI/pythia-160m,The capital of France is,0,1104,ients,False,False,False,False,False,False,15079.0,-0.14603596925735474,-0.20318277180194855,0.0,34.792991638183594,1.0,True,False,0.37804409861564636
EleutherAI/pythia-160m,The capital of France is,0,1123,ave,False,False,False,False,False,False,3465.0,-0.12305229902267456,-0.16114942729473114,0.0,35.34353256225586,1.0,True,False,0.34136632084846497
