model,prompt,template,correct,theta_correct,theta_distr_min,theta_distr_mean,margin,greedy_ok,theta_own_pred,recovery_of_5
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,cheetah,3.9859516620635986,4.504021644592285,5.419575500488281,1.4336238384246824,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,cheetah,7.468211650848389,7.773698806762695,8.100712203979493,0.6325005531311039,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,cheetah,4.135927677154541,2.6506268978118896,3.835034132003784,-0.30089354515075684,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,Sun,1.306112289428711,3.2270712852478027,4.597645902633667,3.2915336132049564,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,Sun,5.788178443908691,6.332056045532227,7.029484844207763,1.241306400299072,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,Sun,3.047546148300171,3.4249699115753174,4.530928754806519,1.483382606506348,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,two,1.5098652839660645,1.647226333618164,2.0076857566833497,0.49782047271728525,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,two,3.313753128051758,3.451051950454712,3.7644323348999023,0.45067920684814444,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,two,1.1882799863815308,1.5691016912460327,2.0267384529113768,0.838458466529846,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,cold,2.2789864540100098,3.054732084274292,4.400926160812378,2.121939706802368,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,cold,5.688753128051758,7.0032267570495605,8.093485450744629,2.4047323226928707,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,cold,1.1715291738510132,2.2834482192993164,3.5953942775726317,2.4238651037216186,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,green,0.8420942425727844,0.9082753658294678,1.8261224031448364,0.984028160572052,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,green,4.159818172454834,5.319792747497559,5.682864189147949,1.5230460166931152,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,green,2.1004953384399414,0.9987760186195374,2.0175196290016175,-0.08297570943832389,0,,0
google--gemma-3-1b-it,The color of the sky is,0,blue,0.0,2.359578847885132,2.989478921890259,2.989478921890259,1,0.0,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,blue,4.109183311462402,5.205297946929932,6.214810848236084,2.1056275367736816,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,blue,0.7743019461631775,1.9635370969772339,3.428680682182312,2.6543787360191344,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,honey,1.7193081378936768,2.389991521835327,4.504741048812866,2.785432910919189,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,honey,6.918463230133057,7.362739086151123,9.012203121185303,2.0937398910522464,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,honey,1.0860649347305298,2.9625332355499268,4.647812128067017,3.561747193336487,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,webs,2.7549872398376465,5.6010518074035645,6.047614002227784,3.292626762390137,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,webs,7.752257823944092,7.840622901916504,8.742235946655274,0.9899781227111824,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,webs,2.453277349472046,4.165087699890137,5.164947128295898,2.711669778823852,0,,0
google--gemma-3-1b-it,The freezing point of water is,0,freezing,0.23069991171360016,3.8333873748779297,4.923690605163574,4.692990693449974,1,0.23069991171360016,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,freezing,2.9472298622131348,5.7565999031066895,7.189771270751953,4.242541408538818,0,,0
google--gemma-3-1b-it,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,freezing,2.4015109539031982,3.1389966011047363,3.9070244312286375,1.5055134773254393,0,,0
