model,theta_cell,theta_author,phi
Qwen2-1.5B-Instruct,6.188905715942383,7.353818792542609,50.89020538330078
Qwen2-1.5B-Instruct,7.792158126831055,9.495738795501927,50.1578254699707
Qwen2-1.5B-Instruct,7.03770637512207,8.396645244830985,49.69251251220703
Qwen2-1.5B-Instruct,8.019271850585938,9.53427472279914,48.63821792602539
Qwen2-1.5B-Instruct,9.548041343688965,12.43866923337449,47.45112609863281
Qwen2-1.5B-Instruct,8.846423149108887,10.468125506879963,48.838924407958984
Qwen2-1.5B-Instruct,7.709353446960449,9.747062436201716,48.700836181640625
Qwen2-1.5B-Instruct,9.785305976867676,12.059696187276334,47.5192756652832
Qwen2-1.5B-Instruct,7.063220500946045,8.215535948798927,49.366973876953125
Qwen2-1.5B-Instruct,9.057746887207031,10.561234645645577,49.208194732666016
Qwen2-1.5B-Instruct,8.499070167541504,10.051176608996535,49.87474060058594
Qwen2-1.5B-Instruct,7.9069342613220215,9.596688991434716,47.801143646240234
Qwen2-1.5B-Instruct,7.052519798278809,8.69351258691642,47.31342697143555
Qwen2-1.5B-Instruct,6.980811595916748,8.532122047018188,49.51988220214844
Qwen2-1.5B-Instruct,8.529471397399902,10.855608968683956,47.669273376464844
Qwen2-1.5B-Instruct,10.127644538879395,12.824875449803692,47.04994201660156
Qwen2-1.5B-Instruct,7.868710994720459,10.227238395231952,47.8470573425293
Qwen2-1.5B-Instruct,9.363510131835938,,42.76079177856445
Qwen2-1.5B-Instruct,7.192411422729492,8.552141331475495,50.763824462890625
Qwen2-1.5B-Instruct,7.033412456512451,8.314478069115731,50.611507415771484
Qwen2-1.5B-Instruct,8.86111068725586,10.899083122751087,48.95812225341797
Qwen2-1.5B-Instruct,8.90542984008789,10.71854073242014,48.91270446777344
Qwen2-1.5B-Instruct,8.613200187683105,11.350046362701178,46.69860076904297
Qwen2-1.5B-Instruct,8.678217887878418,11.372688439799772,47.15400695800781
Qwen2-1.5B-Instruct,6.060001373291016,7.21004331051384,50.82951354980469
Qwen2-1.5B-Instruct,9.546311378479004,12.242485709844216,47.2541389465332
Qwen2-1.5B-Instruct,7.645933151245117,9.420183242903246,49.564701080322266
Qwen2-1.5B-Instruct,7.213411331176758,8.628844355854739,50.77312469482422
Qwen2-1.5B-Instruct,7.866091728210449,9.698260734581975,49.1077880859375
Qwen2-1.5B-Instruct,6.842062473297119,8.105235223892391,50.66653823852539
Qwen2-1.5B-Instruct,8.585654258728027,9.978394113200878,51.184471130371094
Qwen2-1.5B-Instruct,7.235706329345703,8.73661791076837,48.683956146240234
Qwen2-1.5B-Instruct,10.360197067260742,13.695191814225057,47.359230041503906
Qwen2-1.5B-Instruct,6.972714424133301,8.672619038245351,49.853328704833984
Qwen2-1.5B-Instruct,9.935094833374023,12.223634387734979,48.252994537353516
Qwen2-1.5B-Instruct,8.991758346557617,11.15785166964619,47.327457427978516
Qwen2-1.5B-Instruct,8.007463455200195,10.276040096851695,48.48238754272461
Qwen2-1.5B-Instruct,9.598433494567871,12.21362133041174,47.86040496826172
Qwen2-1.5B-Instruct,6.734670639038086,8.19021643754569,50.5486946105957
Qwen2-1.5B-Instruct,6.258429527282715,7.409805853169203,50.91640853881836
Qwen2-1.5B-Instruct,9.41590404510498,16.85781528675108,46.37348175048828
Qwen2-1.5B-Instruct,6.970603942871094,8.791457499614403,48.593101501464844
Qwen2-1.5B-Instruct,8.598113059997559,10.538230568520973,48.863155364990234
Qwen2-1.5B-Instruct,7.832282066345215,9.62595635202822,49.506160736083984
Qwen2-1.5B-Instruct,9.471643447875977,11.59715577668307,48.33222579956055
Qwen2-1.5B-Instruct,8.260181427001953,9.842801197797785,49.27127456665039
Qwen2-1.5B-Instruct,5.8865966796875,7.321348073228368,48.50663375854492
Qwen2-1.5B-Instruct,10.265828132629395,13.301144540628682,47.56616973876953
Qwen2-1.5B-Instruct,3.6162796020507812,4.242715436925991,52.70323181152344
Qwen2-1.5B-Instruct,5.22532320022583,5.722175392285773,54.23514175415039
Qwen2-1.5B-Instruct,4.872425079345703,5.584895420157686,53.26837921142578
Qwen2-1.5B-Instruct,5.406169891357422,6.3316604926826905,52.2508544921875
Qwen2-1.5B-Instruct,6.8321075439453125,7.7026228930768195,53.310264587402344
Qwen2-1.5B-Instruct,6.374275207519531,7.596358809969761,52.74802780151367
Qwen2-1.5B-Instruct,4.79893684387207,5.394647331016151,53.2972412109375
Qwen2-1.5B-Instruct,6.208136081695557,13.479931572342934,50.202491760253906
Qwen2-1.5B-Instruct,4.2277655601501465,5.113830933480247,51.667964935302734
Qwen2-1.5B-Instruct,6.5778703689575195,7.672570060728764,53.02781677246094
Qwen2-1.5B-Instruct,7.221022129058838,15.476580281845253,49.50331115722656
Qwen2-1.5B-Instruct,5.960851669311523,7.524416427442017,52.27537155151367
Qwen2-1.5B-Instruct,4.995477676391602,6.2798125266931235,50.5546989440918
Qwen2-1.5B-Instruct,4.951713562011719,5.524304812030503,53.586421966552734
Qwen2-1.5B-Instruct,6.848852157592773,8.900487809335315,52.762306213378906
Qwen2-1.5B-Instruct,7.406528472900391,9.464442868724928,52.13844299316406
Qwen2-1.5B-Instruct,7.459956645965576,9.098768200940786,53.21646499633789
Qwen2-1.5B-Instruct,6.722982883453369,,40.38664627075195
Qwen2-1.5B-Instruct,4.141558647155762,4.656966410087264,53.478084564208984
Qwen2-1.5B-Instruct,5.085538387298584,5.55502700291722,53.929649353027344
Qwen2-1.5B-Instruct,7.3200578689575195,9.435462376076565,52.59907150268555
